prompt,command,expected,exact_match,formatting,syntax_valid,tool,flags,args,constraints,safety,overall,reasoning
display the contents of config.yaml,yq . config.yaml,cat config.yaml,False,True,True,True,2,2,2,True,4,"Uses yq instead of cat, which is not necessary for displaying contents; correct tool but not the most straightforward."
display the contents of a file,cat file.txt,cat YOUR_FILE,False,True,True,True,2,1,1,True,4,"Correct tool and command, but uses a hardcoded filename instead of a placeholder as expected."
calculate the MD5 hash of a file document.pdf,md5sum document.pdf,md5sum document.pdf,True,True,True,True,2,2,2,True,5,Correct tool and command for calculating MD5 hash of the specified file.
calculate the MD5 hash of a file,md5sum file.txt,md5sum YOUR_FILE,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses 'file.txt' instead of placeholder 'YOUR_FILE' but input_text didn't specify a filename.
initialize a Go module github.com/user/myproject,go mod init github.com/user/myproject,go mod init github.com/user/myproject,True,True,True,True,2,2,2,True,5,Correct tool and command with proper arguments as specified in the input text.
initialize a Go module,go mod init YOUR_MODULE,go mod init YOUR_MODULE_PATH,False,True,True,True,2,2,2,True,5,Correct tool and flag; placeholder for module name is appropriate as input_text does not specify it.
helm add a repository bitnami at https://charts.bitnami.com/bitnami,helm repo add bitnami https://charts.bitnami.com/bitnami,helm repo add bitnami https://charts.bitnami.com/bitnami,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments matching the input_text."
helm add a repository,helm repo add repo_name repo_url,helm repo add YOUR_REPO_NAME YOUR_REPO_URL,False,True,True,True,2,2,2,True,5,Correct tool and command structure; placeholders for repo name and URL are appropriate as they are not specified in the input.
replace old_text with new_text in file.txt,sed 's/old_text/new_text/g' file.txt,"sed -i ""s/old_text/new_text/g"" file.txt",False,True,True,True,1,2,0,True,3,Correct tool and flags but missing -i for in-place edit; the command does not save changes to file.txt.
replace text in a file,sed 's/old/new/g' file.txt,"sed -i ""s/YOUR_OLD_TEXT/YOUR_NEW_TEXT/g"" YOUR_FILE",False,True,True,True,1,1,0,True,3,Correct tool but uses hardcoded 'old' and 'new' instead of placeholders; lacks -i for in-place edit as expected.
check SSL certificate expiry of a website example.com,echo | openssl s_client -connect example.com:443 2>/dev/null | openssl x509 -noout -dates,echo | openssl s_client -connect example.com:443 2>/dev/null | openssl x509 -noout -dates,True,True,True,True,2,2,2,True,5,Correct tool and command chain; all flags and arguments are appropriate for checking SSL certificate expiry.
check SSL certificate expiry of a website,echo | openssl s_client -connect example.com:443 2>/dev/null | openssl x509 -noout -dates,echo | openssl s_client -connect YOUR_DOMAIN:443 2>/dev/null | openssl x509 -noout -dates,False,True,True,True,2,1,1,True,3,"Correct tool and command structure, but uses 'example.com' instead of placeholder 'YOUR_DOMAIN' as expected."
add a default gateway 192.168.1.1,sudo ip route add default via 192.168.1.1,sudo ip route add default via 192.168.1.1,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; matches expected exactly."
add a default gateway,sudo ip route add default via 192.168.1.1,sudo ip route add default via YOUR_GATEWAY,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses placeholder for gateway as input_text did not specify a value.
test IPv6 connectivity to ipv6.google.com,ping6 ipv6.google.com,ping6 -c 4 ipv6.google.com,False,True,True,True,1,2,2,True,4,Correct tool and target but missing -c 4 flag which is commonly used to specify the number of packets to send.
test IPv6 connectivity,ping6 -c 4 example.com,ping6 -c 4 YOUR_HOST,False,True,True,True,2,1,1,True,4,"Correct tool and flag usage, but uses a specific host (example.com) instead of a placeholder as expected."
format a partition /dev/sdb1 as ext4,sudo mkfs.ext4 /dev/sdb1,sudo mkfs.ext4 /dev/sdb1,True,True,True,True,2,2,2,True,5,Correct tool and arguments; properly formats the partition as ext4 as requested.
format a partition as ext4,sudo mkfs.ext4 /dev/sdb1,sudo mkfs.ext4 YOUR_DEVICE,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses a specific device path instead of placeholder but still valid as input_text didn't specify a device.
read user input in a script for name,"read -p ""Enter your name: "" name","read -p ""Enter your name: "" name",True,True,True,True,2,2,2,True,5,Correct tool and flag usage with proper argument for user input.
read user input in a script,"read -p ""Enter your name: "" name","read -p ""YOUR_PROMPT: "" YOUR_VARIABLE",False,True,True,True,2,1,1,True,4,"Correct tool and flag usage, but args use specific values instead of placeholders as expected."
