prompt,command,expected,exact_match,formatting,syntax_valid,tool,flags,args,constraints,safety,overall,reasoning
GCP copy a file file.txt to GCS gs://mybucket/,gsutil cp file.txt gs://mybucket/,gsutil cp file.txt gs://mybucket/,True,True,True,True,2,2,2,True,5,Correct tool and command structure; matches expected exactly.
GCP copy a file to GCS,gsutil cp gs://source_bucket/source_file gs://destination_bucket/destination_file,gsutil cp YOUR_FILE YOUR_GCS_BUCKET,False,True,True,True,2,1,1,True,3,Correct tool and command structure but uses specific filenames instead of placeholders as expected.
docker run a container nginx,docker run -d --name mynginx nginx,docker run -d nginx,False,True,True,True,1,2,2,True,4,Adds --name and -d flags not requested; correct tool but extra flags not needed.
docker run a container,docker run -d myimage,docker run -d YOUR_IMAGE,False,True,True,True,2,2,2,True,5,Correct tool and flag; uses 'myimage' instead of placeholder 'YOUR_IMAGE' but input_text didn't specify an image name.
set an environment variable API_KEY to abc123,export API_KEY=abc123,export API_KEY=abc123,True,True,True,True,2,2,2,True,5,"Correct tool, correct flag, correct argument; fully matches expected."
set an environment variable,export VARIABLE=value,export YOUR_VAR=YOUR_VALUE,False,True,True,True,2,2,2,True,5,Correct tool and syntax; uses placeholder names as input_text did not specify them.
use rsync to delete files not in source/ from dest/,rsync -av --delete source/ dest/,rsync -avz --delete source/ dest/,False,True,True,True,1,2,2,True,3,Missing -z flag for compression as implied by 'rsync' usage; correct tool and --delete flag but incomplete flags.
use rsync to delete files not in source,rsync -av --delete source/ dest/,rsync -avz --delete YOUR_SOURCE YOUR_DESTINATION,False,True,True,True,1,1,1,True,3,Correct tool and --delete flag but missing -z for compression and uses source/dest instead of placeholders.
create a GIF from a video input.mp4 to output.gif,"ffmpeg -i input.mp4 -vf ""fps=10,scale=320:-1"" -loop 0 output.gif","ffmpeg -i input.mp4 -vf ""fps=10,scale=320:-1"" output.gif",False,True,True,True,2,2,2,True,5,Correct tool and flags; -loop 0 is redundant but not incorrect. Output file matches expected.
create a GIF from a video,"ffmpeg -i input.mp4 -filter_complex ""fps=10,scale=320:-1"" -loop 0 output.gif","ffmpeg -i YOUR_INPUT -vf ""fps=10,scale=320:-1"" YOUR_OUTPUT",False,True,True,True,2,1,1,True,3,"Correct tool and flags, but uses hardcoded input and output filenames instead of placeholders as expected."
parse YAML from command line config.yaml,yq '.' config.yaml,yq '.' config.yaml,True,True,True,True,2,2,2,True,5,Correct tool and command structure; uses yq to parse YAML as expected.
parse YAML from command line,yq '.key' file.yaml,yq '.' YOUR_FILE,False,True,True,True,2,1,1,True,3,Correct tool but args are partially right; uses '.key' instead of placeholder and specifies a file directly.
test a TCP connection to example.com:443,nc -zv example.com 443,nc -zv example.com 443,True,True,True,True,2,2,2,True,5,Correct tool and flags used to test TCP connection to example.com:443.
test a TCP connection to a port,nc -zv YOUR_HOST YOUR_PORT,nc -zv YOUR_HOST YOUR_PORT,True,True,True,True,2,2,2,True,5,Correct tool and flags; placeholders for host and port are appropriate.
restore a MySQL database database_name from backup.sql,mysql -u root -p database_name < backup.sql,mysql -u root -p database_name < backup.sql,True,True,True,True,2,2,2,True,5,"Correct tool, correct flags, correct arguments; matches expected exactly."
restore a MySQL database from dump,mysql -u root -p database < dump.sql,mysql -u root -p YOUR_DATABASE < YOUR_BACKUP,False,True,True,True,2,1,1,True,3,Correct tool and approach but uses hardcoded 'root' and 'database' instead of placeholders as expected.
cut a video clip from 00:01:00 to 00:02:00 in input.mp4 to clip.mp4,ffmpeg -i input.mp4 -ss 00:01:00 -to 00:02:00 clip.mp4,ffmpeg -i input.mp4 -ss 00:01:00 -to 00:02:00 -c copy clip.mp4,False,True,True,True,1,2,2,True,3,Missing -c copy flag which is needed for efficient clipping without re-encoding.
cut a video clip,ffmpeg -i input.mp4 -ss 00:01:00 -to 00:02:00 -c copy clip.mp4,ffmpeg -i YOUR_INPUT -ss YOUR_START -to YOUR_END -c copy YOUR_OUTPUT,False,True,True,True,2,1,1,True,3,"Correct tool and flags, but uses hardcoded input and output filenames instead of placeholders as expected."
git show commits from 2024-01-01 to 2024-01-31,"git log --after=""2024-01-01"" --before=""2024-02-01""","git log --after=""2024-01-01"" --before=""2024-01-31""",False,True,True,True,2,1,1,True,3,"The --before flag uses 2024-02-01 instead of 2024-01-31 as specified, violating the date constraint."
git show commits from a specific date range,"git log --since=""2024-01-01"" --until=""2024-02-01""","git log --after=""YOUR_START_DATE"" --before=""YOUR_END_DATE""",False,True,True,True,2,2,2,True,5,Correct tool and flags; uses specific dates instead of placeholders but still meets the input requirement.
kubernetes autoscale deployment mydeployment with min 2 and max 10,kubectl autoscale deployment mydeployment --min=2 --max=10,kubectl autoscale deployment mydeployment --min=2 --max=10 --cpu-percent=80,False,True,True,True,1,2,1,True,3,Correct tool and flags for autoscaling but missing --cpu-percent=80 which is a common default constraint.
kubernetes autoscale a deployment,kubectl autoscale deployment deployment_name --cpu-percent=50 --min=2 --max=10,kubectl autoscale deployment YOUR_DEPLOYMENT --min=YOUR_MIN --max=YOUR_MAX --cpu-percent=80,False,True,True,True,2,1,1,True,3,"Correct tool and flags, but missing explicit constraints like specifying the deployment name and values for min/max; uses placeholders instead."
use rsync with bandwidth limit of 1000 from source/ to dest/,rsync -av --bwlimit=1000 source/ dest/,rsync -avz --bwlimit=1000 source/ dest/,False,True,True,True,1,2,2,True,4,"Missing -z flag for compression which is implied by the use of --bwlimit; however, the command is otherwise correct."
