input_text,input_parameters,bash_command
kubernetes copy a file from a pod,"[""mypod"", ""/app/log.txt"", ""./log.txt""]",kubectl cp mypod:/app/log.txt ./log.txt
set the SGID bit on a directory,"[""/shared""]",chmod g+s /shared
GCP SSH into an instance,"[""myvm"", ""us-central1-a""]",gcloud compute ssh myvm --zone=us-central1-a
replace spaces with tabs in a file,"[""file.txt""]",unexpand file.txt
show all threads of a process,"[""1234""]",ps -T -p 1234
create a reverse SSH tunnel,"[""9090"", ""localhost:80"", ""user@server""]",ssh -R 9090:localhost:80 user@server
use flock for script locking,"[""script.sh""]",flock -n /tmp/script.lock -c ./script.sh
export a GPG public key,"[""user@email.com""]",gpg --armor --export user@email.com
show the size of a file,"[""report.pdf""]",ls -lh report.pdf
redirect both stdout and stderr to a file,"[""command"", ""output.log""]",command > output.log 2>&1
perform a reverse DNS lookup,"[""8.8.8.8""]",dig -x 8.8.8.8
convert JSON to YAML,"[""data.json""]",yq -p=json '.' data.json
load a kernel module,"[""module_name""]",sudo modprobe module_name
print lines longer than 80 characters,"[""file.txt""]",awk 'length > 80' file.txt
reduce image quality for smaller file size,"[""input.jpg"", ""output.jpg""]",convert input.jpg -quality 50 output.jpg
set a kernel parameter,"[""net.ipv4.ip_forward"", ""1""]",sudo sysctl -w net.ipv4.ip_forward=1
show traffic control settings,"[""eth0""]",tc -s qdisc show dev eth0
type check Python code with mypy,"[""main.py""]",mypy main.py
import a GPG public key,"[""pubkey.asc""]",gpg --import pubkey.asc
copy file report.txt to backup folder,"[""report.txt"", ""backup/""]",cp report.txt backup/
set the system timezone,"[""America/New_York""]",sudo timedzone set-timezone America/New_York
set the MTU of an interface,"[""eth0"", ""9000""]",sudo ip link set eth0 mtu 9000
create a new git branch called feature,"[""feature""]",git checkout -b feature
allow a specific IP,"[""192.168.1.100""]",sudo ufw allow from 192.168.1.100
validate an IP address,"[""192.168.1.1""]","echo ""192.168.1.1"" | grep -P '^\d{1,3}(\.\d{1,3}){3}$'"
extract lines between two patterns,"[""START"", ""END"", ""file.txt""]","sed -n '/START/,/END/p' file.txt"
use dc for reverse polish notation calculator,"[""5 3 +""]","echo ""5 3 + p"" | dc"
resume an interrupted download,"[""https://example.com/largefile.iso""]",wget -c https://example.com/largefile.iso
start a Python interactive debugger on a script,"[""main.py""]",python3 -m pdb main.py
list all open file descriptors for a process,"[""1234""]",ls -la /proc/1234/fd
create a new user,"[""johndoe""]",sudo useradd -m johndoe
configure a static IP address,"[""eth0"", ""192.168.1.50""]",sudo ip addr add 192.168.1.50/24 dev eth0
clone a disk,"[""/dev/sda"", ""/dev/sdb""]",sudo dd if=/dev/sda of=/dev/sdb bs=64K conv=noerror status=progress
show audit log entries,"[""passwd_changes""]",sudo ausearch -k passwd_changes
AWS describe a DynamoDB table,"[""mytable""]",aws dynamodb describe-table --table-name mytable
rename file old.txt to new.txt,"[""old.txt"", ""new.txt""]",mv old.txt new.txt
show all shared libraries used by a binary,"[""/usr/bin/python3""]",ldd /usr/bin/python3
ansible run a playbook,"[""playbook.yml""]",ansible-playbook playbook.yml
limit CPU usage for a cgroup,"[""mygroup"", ""50000""]",sudo cgset -r cpu.cfs_quota_us=50000 mygroup
validate JSON syntax,"[""data.json""]","python3 -c ""import json; json.load(open('data.json'))"""
AWS send an SQS message,"[""queue_url"", ""Hello""]","aws sqs send-message --queue-url queue_url --message-body ""Hello"""
git search commit messages,"[""fix bug""]","git log --grep=""fix bug"""
extract URLs from a file,"[""file.txt""]",grep -oP 'https?://[^\s]+' file.txt
find a process by name,"[""nginx""]",ps aux | grep nginx
docker create a network,"[""mynetwork""]",docker network create mynetwork
send a Slack webhook message,"[""https://hooks.slack.com/xxx"", ""Hello""]","curl -X POST -H 'Content-type: application/json' --data '{""text"":""Hello""}' https://hooks.slack.com/xxx"
