prompt,command
run make with a specific target install,make install
run make with a specific target,make YOUR_TARGET
show the first 10 lines of log.txt,head log.txt
show the first 10 lines of a file,head YOUR_FILE
kubernetes rollback deployment mydeployment,kubectl rollout undo deployment/mydeployment
kubernetes rollback a deployment,kubectl rollout undo deployment/YOUR_DEPLOYMENT
monitor a log file app.log in real time,tail -f app.log
monitor a log file in real time,tail -f YOUR_LOGFILE
run a command for each line of a file with script.sh and urls.txt,"while IFS= read -r line; do ./script.sh ""$line""; done < urls.txt"
run a command for each line of a file,"while IFS= read -r line; do ./YOUR_SCRIPT ""$line""; done < YOUR_FILE"
profile a bash script script.sh,PS4='+ $(date +%s.%N) ' bash -x script.sh
profile a bash script,PS4='+ $(date +%s.%N) ' bash -x YOUR_SCRIPT
create a RAID array /dev/md0 with /dev/sdb and /dev/sdc,sudo mdadm --create /dev/md0 --level=1 --raid-devices=2 /dev/sdb /dev/sdc
create a RAID array,sudo mdadm --create YOUR_ARRAY --level=1 --raid-devices=2 YOUR_DEVICE1 YOUR_DEVICE2
use GNU parallel to process files with 4 jobs and process.sh,"find . -name ""*.csv"" | parallel -j4 ./process.sh {}"
use GNU parallel to process files,"find . -name ""*.csv"" | parallel -jYOUR_JOBS ./YOUR_SCRIPT {}"
encode a string hello world in base64,"echo ""hello world"" | base64"
encode a string in base64,"echo ""YOUR_STRING"" | base64"
show lines that do not match pattern debug in log.txt,"grep -v ""debug"" log.txt"
show lines that do not match a pattern in a file,"grep -v ""YOUR_PATTERN"" YOUR_FILE"
use xargs to process 4 items in parallel with process.sh,cat items.txt | xargs -P 4 -I {} ./process.sh {}
use xargs to process items in parallel,cat items.txt | xargs -P YOUR_JOBS -I {} ./YOUR_SCRIPT {}
add a disk /dev/sdb to LVM,sudo pvcreate /dev/sdb
add a disk to LVM,sudo pvcreate YOUR_DEVICE
convert a markdown file document.md to PDF document.pdf,pandoc document.md -o document.pdf
convert a markdown file to PDF,pandoc YOUR_INPUT -o YOUR_OUTPUT
set the keyboard layout to us,sudo localectl set-keymap us
set the keyboard layout,sudo localectl set-keymap YOUR_LAYOUT
decode a base64 string aGVsbG8gd29ybGQ=,"echo ""aGVsbG8gd29ybGQ="" | base64 -d"
decode a base64 string,"echo ""YOUR_BASE64_STRING"" | base64 -d"
remove trailing whitespace from file.txt,sed -i 's/[[:space:]]*$//' file.txt
remove trailing whitespace from a file,sed -i 's/[[:space:]]*$//' YOUR_FILE
run a command with 30 second timeout for ./long_task,timeout 30 ./long_task
