prompt,command
display the contents of config.yaml,cat config.yaml
display the contents of a file,cat YOUR_FILE
calculate the MD5 hash of a file document.pdf,md5sum document.pdf
calculate the MD5 hash of a file,md5sum YOUR_FILE
initialize a Go module github.com/user/myproject,go mod init github.com/user/myproject
initialize a Go module,go mod init YOUR_MODULE_PATH
helm add a repository bitnami at https://charts.bitnami.com/bitnami,helm repo add bitnami https://charts.bitnami.com/bitnami
helm add a repository,helm repo add YOUR_REPO_NAME YOUR_REPO_URL
replace old_text with new_text in file.txt,"sed -i ""s/old_text/new_text/g"" file.txt"
replace text in a file,"sed -i ""s/YOUR_OLD_TEXT/YOUR_NEW_TEXT/g"" YOUR_FILE"
check SSL certificate expiry of a website example.com,echo | openssl s_client -connect example.com:443 2>/dev/null | openssl x509 -noout -dates
check SSL certificate expiry of a website,echo | openssl s_client -connect YOUR_DOMAIN:443 2>/dev/null | openssl x509 -noout -dates
add a default gateway 192.168.1.1,sudo ip route add default via 192.168.1.1
add a default gateway,sudo ip route add default via YOUR_GATEWAY
test IPv6 connectivity to ipv6.google.com,ping6 -c 4 ipv6.google.com
test IPv6 connectivity,ping6 -c 4 YOUR_HOST
format a partition /dev/sdb1 as ext4,sudo mkfs.ext4 /dev/sdb1
format a partition as ext4,sudo mkfs.ext4 YOUR_DEVICE
read user input in a script for name,"read -p ""Enter your name: "" name"
read user input in a script,"read -p ""YOUR_PROMPT: "" YOUR_VARIABLE"
write hello world to a file hello.txt,"echo ""Hello World"" > hello.txt"
write hello world to a file,"echo ""YOUR_TEXT"" > YOUR_FILE"
limit a process ./task to a specific CPU core 0,taskset -c 0 ./task
limit a process to a specific CPU core,taskset -c YOUR_CORE YOUR_COMMAND
extract a specific field name from JSON data.json,jq '.name' data.json
extract a specific field from JSON,jq '.YOUR_FIELD' YOUR_FILE
check if a package curl is installed,dpkg -l | grep curl
check if a package is installed,dpkg -l | grep YOUR_PACKAGE
view logs for a specific service nginx,journalctl -u nginx
view logs for a specific service,journalctl -u YOUR_SERVICE
compare two files file1.txt and file2.txt,diff file1.txt file2.txt
compare two files,diff YOUR_FILE1 YOUR_FILE2
convert a CSV data.csv to JSON,"python3 -c ""import csv,json,sys; print(json.dumps(list(csv.DictReader(open('data.csv')))))"""
convert a CSV to JSON,"python3 -c ""import csv,json,sys; print(json.dumps(list(csv.DictReader(open('YOUR_FILE')))))"""
merge two JSON files a.json and b.json,jq -s '.[0] * .[1]' a.json b.json
merge two JSON files,jq -s '.[0] * .[1]' YOUR_FILE1 YOUR_FILE2
kubernetes apply a configuration file deployment.yaml,kubectl apply -f deployment.yaml
kubernetes apply a configuration file,kubectl apply -f YOUR_CONFIG_FILE
set the sticky bit on a directory /shared,chmod +t /shared
set the sticky bit on a directory,chmod +t YOUR_DIRECTORY
