prompt,command
enable IP forwarding,sudo sysctl -w net.ipv4.ip_forward=1
check for outdated npm packages,npm outdated
run a Python one-liner to generate a UUID,"python3 -c ""import uuid; print(uuid.uuid4())"""
docker list networks,docker network ls
vet Go code for issues,go vet ./...
create a ramdisk for temporary files,sudo mount -t tmpfs -o size=1G tmpfs /mnt/ramdisk
repeat the last command,!!
show failed login attempts,sudo lastb
monitor system resources in real time,top
show all Bluetooth devices,bluetoothctl devices
scan for wireless networks,sudo iwlist wlan0 scan | grep ESSID
check for package security updates,sudo apt list --upgradable 2>/dev/null | grep -i security
show WiFi signal strength,iwconfig wlan0 | grep Signal
show BIOS information,sudo dmidecode -t bios
show wireless network information,iwconfig
show all TCP connections with state,ss -tan state established
generate a self-signed SSL certificate,openssl req -x509 -newkey rsa:4096 -keyout key.pem -out cert.pem -days 365 -nodes
install Python dependencies from a file,pip install -r requirements.txt
show system memory usage,free -h
create a progress bar in bash,"for i in $(seq 1 100); do printf ""\r[%-50s] %d%%"" $(printf '#%.0s' $(seq 1 $((i/2)))) $i; sleep 0.1; done"
list all block devices with filesystem type,lsblk -f
list GitHub releases,gh release list
show block device information,lsblk
docker remove unused volumes,docker volume prune -f
show all successful SSH logins,"grep ""Accepted"" /var/log/auth.log | tail -20"
show the git diff stat,git diff --stat
git push tags to remote,git push --tags
show git log in one line format,git log --oneline
delete empty directories,find . -empty -type d -delete
extract specific fields from /etc/passwd,"awk -F: '{print $1, $3, $6}' /etc/passwd"
start a Jupyter notebook server,jupyter notebook
loop through files and rename them,"for f in *.txt; do mv ""$f"" ""${f%.txt}.bak""; done"
restart NetworkManager,sudo systemctl restart NetworkManager
find files and execute a command on each,"find . -name ""*.tmp"" -exec rm {} \;"
switch to root user,sudo su
show listening ports,netstat -tlnp
list screen sessions,screen -ls
list all installed packages,dpkg -l
add all files to git staging,git add .
count lines of code by file type,"find . -name ""*.py"" -o -name ""*.js"" -o -name ""*.go"" | xargs wc -l"
show all logical volumes,sudo lvdisplay
export journal logs to JSON,journalctl -o json --no-pager
show all aliases,alias
list all groups,cat /etc/group
show mail queue,mailq
show bandwidth usage per process,nethogs
run make,make
show the load average,uptime
docker list all images,docker images
docker list all containers including stopped,docker ps -a
show the git log as a graph,git log --graph --oneline --all
find and delete all .log files,"find . -name ""*.log"" -delete"
