prompt,command
delete all python files,rm *.py
list all files in the current directory,ls
show hidden files,ls -a
create a new directory called projects,mkdir projects
remove an empty directory called temp,rmdir temp
copy file.txt to backup.txt,cp file.txt backup.txt
move report.pdf to the documents folder,mv report.pdf documents/
display the contents of config.txt,cat config.txt
show the first 10 lines of log.txt,head log.txt
show the last 20 lines of error.log,tail -20 error.log
count the number of lines in data.csv,wc -l data.csv
find all jpg files in the current directory,"find . -name ""*.jpg"""
search for the word error in log.txt,"grep ""error"" log.txt"
print the current working directory,pwd
change directory to home,cd ~
create an empty file called notes.txt,touch notes.txt
display disk usage in human readable format,df -h
show the size of each file in the current directory,du -sh *
check how much free memory is available,free -h
display running processes,ps aux
kill process with PID 1234,kill 1234
show the current date and time,date
display the username of the current user,whoami
compress a folder called backup into a tar.gz file,tar -czf backup.tar.gz backup/
extract a tar.gz file called archive.tar.gz,tar -xzf archive.tar.gz
download a file from a URL,wget https://example.com/file.zip
find all files larger than 100MB,find / -size +100M
change file permissions to make script.sh executable,chmod +x script.sh
show the last 5 commands from history,history 5
display the IP address of the machine,hostname -I
ping google.com 5 times,ping -c 5 google.com
check which port a service is running on,netstat -tlnp
sort the contents of names.txt alphabetically,sort names.txt
remove duplicate lines from sorted.txt,uniq sorted.txt
replace all occurrences of foo with bar in file.txt,sed -i 's/foo/bar/g' file.txt
count the number of words in essay.txt,wc -w essay.txt
display system information,uname -a
show the top 10 memory consuming processes,ps aux --sort=-%mem | head -10
find files modified in the last 24 hours,find . -mtime -1
create a symbolic link to a file,ln -s /path/to/file linkname
add a new user called john,sudo useradd john
change the owner of file.txt to user alice,sudo chown alice file.txt
display environment variables,env
set an environment variable called API_KEY,"export API_KEY=""your_key_here"""
show the contents of the PATH variable,echo $PATH
append text to the end of a file,"echo ""new line"" >> file.txt"
overwrite a file with new text,"echo ""new content"" > file.txt"
compare two files side by side,diff file1.txt file2.txt
find and delete all .tmp files,"find . -name ""*.tmp"" -delete"
list all installed packages on Ubuntu,dpkg --list
install a package called vim on Ubuntu,sudo apt install vim
update all packages on Ubuntu,sudo apt update && sudo apt upgrade -y
uninstall a package called nginx,sudo apt remove nginx
check the version of python installed,python3 --version
create a virtual environment in python,python3 -m venv myenv
install a python package using pip,pip install requests
list all running docker containers,docker ps
stop a docker container by ID,docker stop container_id
remove all stopped docker containers,docker container prune -f
build a docker image from current directory,docker build -t myimage .
run a docker container in background,docker run -d myimage
show docker container logs,docker logs container_id
list all docker images,docker images
remove a docker image,docker rmi image_id
initialize a new git repository,git init
clone a git repository,git clone https://github.com/user/repo.git
check the status of a git repository,git status
add all changes to git staging area,git add .
commit changes with a message,"git commit -m ""initial commit"""
push changes to the remote repository,git push origin main
pull latest changes from remote,git pull origin main
create a new git branch called feature,git checkout -b feature
switch to the main branch,git checkout main
merge feature branch into current branch,git merge feature
view git commit history,git log
show the difference between staged changes,git diff --staged
stash current changes,git stash
apply stashed changes,git stash pop
delete a git branch called old-feature,git branch -d old-feature
list all remote branches,git branch -r
revert the last commit,git revert HEAD
show who changed each line of a file,git blame file.txt
create a git tag called v1.0,git tag v1.0
show all files tracked by git,git ls-files
count the number of files in a directory,ls | wc -l
find all empty files in the current directory,find . -empty -type f
display the largest files in a directory,ls -lS
show file type information,file document.pdf
calculate the md5 checksum of a file,md5sum file.txt
watch a log file in real time,tail -f /var/log/syslog
run a command every 2 seconds,"watch -n 2 ""date"""
list open files by a process,lsof -p 1234
check if a port is in use,lsof -i :8080
find which process is using port 3000,lsof -i :3000
redirect stderr to a file,command 2> error.log
redirect both stdout and stderr to a file,command &> output.log
run a command in the background,long_running_command &
bring a background job to foreground,fg
list all background jobs,jobs
schedule a cron job to run every hour,crontab -e
display the crontab for current user,crontab -l
convert text to uppercase,"echo ""hello"" | tr 'a-z' 'A-Z'"
convert text to lowercase,"echo ""HELLO"" | tr 'A-Z' 'a-z'"
remove all blank lines from a file,sed '/^$/d' file.txt
number all lines in a file,nl file.txt
display a calendar for the current month,cal
display a calendar for the year 2024,cal 2024
show disk usage of the current directory,du -sh .
find the 10 largest directories,du -h --max-depth=1 | sort -rh | head -10
monitor system resources in real time,top
monitor system resources with a nicer interface,htop
show network interfaces and their IPs,ip addr show
display the routing table,ip route show
trace the route to a host,traceroute google.com
lookup DNS records for a domain,nslookup example.com
show DNS information for a domain,dig example.com
transfer a file to a remote server via SCP,scp file.txt user@host:/path/
connect to a remote server via SSH,ssh user@hostname
generate an SSH key pair,ssh-keygen -t rsa -b 4096
